Population size: 1000;;;
Generation amount: 10;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 5;;;
;;;
;;;
Deviation : 1,4781954134356;;;
PopulationNumber;Best;Average;Worst
1;-522,8093258;-8467,271483;-16235,25753
2;1781,361861;-5529,977442;-13700,19824
3;3107,158929;-4097,513272;-11827,07533
4;3973,77848;-3075,738521;-11534,37278
5;4650,890864;-2430,543398;-11404,27396
6;5245,949886;-1886,736411;-10699,36049
7;5686,9565;-1452,415101;-10194,4112
8;5714,617694;-1130,66579;-9442,719944
9;6454,144546;-857,2525275;-9706,806768
10;6522,815872;-523,3169626;-9528,707786
