Population size: 100;;;
Generation amount: 100;;;
Crossing probability: 0,7;;;
Mutation probability: 0,1;;;
Tournament parameter: 100;;;
;;;
;;;
Deviation : 651,954288658633;;;
PopulationNumber;Best;Average;Worst
1;-2287,465968;-8445,594329;-14294,78201
2;162,2511243;-2110,847666;-5371,295317
3;1593,131653;-395,3329372;-3556,947725
4;2937,622577;982,4855605;-2180,929363
5;4204,616673;2252,89901;-1069,103766
6;5301,456083;3424,931184;77,16971222
7;6284,717725;4420,820515;968,0919557
8;7173,069614;5380,974202;1998,350037
9;7841,370843;6188,563151;3107,242173
10;8642,454513;6869,405719;3512,067891
11;9281,465615;7570,188681;4416,932436
12;9780,325088;8196,679004;4854,624737
13;10325,65175;8599,670063;5203,272262
14;10793,92865;9088,009422;6080,135862
15;11199,23435;9605,100156;6294,740685
16;11796,36927;9959,649297;6126,717893
17;12136,6513;10512,35475;7264,241865
18;12514,08578;10847,62543;7139,709462
19;12797,89531;11186,62121;7753,567935
20;13080,63499;11429,14048;7760,999115
21;13324,5608;11770,03438;8339,456843
22;13560,39138;11938,58988;8651,165959
23;13823,1433;12165,15475;8641,612706
24;14008,0353;12327,0574;8841,20947
25;14261,5525;12605,7894;9120,346872
26;14368,24093;12766,80012;8863,124417
27;14509,98334;12899,82786;9285,381711
28;14643,89821;13015,01953;9456,005371
29;14742,99045;13177,52775;9435,361433
30;14864,88849;13260,16813;9598,331998
31;15013,2413;13428,96241;9856,465325
32;15189,37958;13472,27334;9924,38561
33;15259,61641;13643,41652;10054,06565
34;15360,32717;13699,57083;10189,84216
35;15439,01135;13837,09127;10646,80637
36;15511,19492;13905,14314;10270,5765
37;15610,22481;13945,06196;10293,42047
38;15713,34183;14026,9362;10132,00936
39;15813,24678;14157,14694;10313,01592
40;15882,60209;14239,8589;10602,1926
41;15979,19712;14332,36067;10719,80716
42;16003,91211;14392,74482;10945,79344
43;16031,57245;14403,00061;10955,57047
44;16135,75652;14471,85343;11155,82728
45;16159,87323;14554,13175;10936,15242
46;16258,22419;14536,55459;10830,37097
47;16355,48538;14662,56438;11026,11999
48;16374,58941;14726,66422;11260,92202
49;16399,09542;14753,7417;11095,61296
50;16430,33676;14737,27522;11235,8451
51;16514,63376;14804,49358;11003,37986
52;16630,27268;14885,17727;11107,3529
53;16676,16205;14929,00537;11001,29723
54;16717,9537;14981,61867;11594,92433
55;16744,10575;15109,56186;11437,31939
56;16754,39854;15181,79872;11411,92301
57;16789,43216;15155,64912;11594,69315
58;16808,70801;15120,65272;11509,3951
59;16838,05581;15147,8999;11374,01356
60;16844,87744;15165,76442;11822,10292
61;16869,56744;15174,00253;11596,11393
62;16889,2575;15195,75895;11818,84658
63;16892,02974;15224,8538;11703,83234
64;16934,96482;15268,75099;11643,89603
65;16939,14541;15282,07093;12103,98166
66;16948,20583;15241,60433;11741,62802
67;16952,7693;15286,94022;11774,78923
68;16957,47829;15312,90503;11760,19458
69;16963,82412;15287,85668;11444,99137
70;16984,48294;15313,18452;12045,66702
71;16984,05145;15320,50463;11919,55052
72;17032,85067;15409,75882;11726,45219
73;17040,18686;15343,53364;11670,48483
74;17084,09852;15361,21601;11773,01846
75;17115,65012;15381,67258;11812,51849
76;17120,69749;15453,09775;12009,26315
77;17154,16809;15415,71222;11676,37391
78;17195,27115;15453,36984;11646,06865
79;17177,16319;15534,67869;12080,5255
80;17217,02046;15496,38313;12035,81274
81;17222,79759;15516,54519;11864,97414
82;17236,92389;15580,79949;11710,59124
83;17263,89595;15571,96378;11641,87979
84;17279,83514;15590,68858;11729,68705
85;17276,15331;15543,91636;11843,44813
86;17237,47869;15632,62682;12259,26724
87;17265,96694;15544,98852;11894,85558
88;17307,30851;15570,79536;12070,17584
89;17320,83847;15641,04446;11980,64404
90;17323,93625;15591,18234;11956,38656
91;17314,96084;15588,69112;12115,32517
92;17332,91179;15689,5417;12213,98206
93;17312,82231;15662,69784;12179,60464
94;17294,23105;15604,51407;12021,0712
95;17293,50127;15574,79364;11796,95548
96;17304,60326;15585,55549;11739,25509
97;17334,0925;15583,01511;11532,83373
98;17335,86701;15641,16347;11653,70001
99;17362,76951;15665,17025;12094,66233
100;17389,30241;15738,53612;12123,25747
